correction,record_id,title,known_gold,state_changed,before_score,after_score,score_delta,before_rank,after_rank,rank_improvement,before_state,after_state
relationships,BC001-EC8A2D98ADF7,Fingerprint safety lock for firearms,False,True,27.6,22.0,-5.600000000000001,72,137,-65,"{""rank"": 72, ""score"": 27.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 137, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-31F957E97F0F,"Vehicle starting reminding control method, vehicle control unit, system and vehicle",False,True,26.0,10.0,-16.0,74,423,-349,"{""rank"": 74, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 423, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-629B10042E54,"Firearm safety mechanisms, visual safety indicators, and related techniques",False,True,26.0,10.0,-16.0,78,471,-393,"{""rank"": 78, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 471, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-62D89165C01D,"Firearm safety mechanisms, visual safety indicators, and related techniques",False,True,26.0,10.0,-16.0,79,472,-393,"{""rank"": 79, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 472, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-69A5CDD5CDC5,Direct-current vehicle-to-vehicle charging and discharging system and control guide circuit and charging and discharging interaction method thereof,False,True,26.0,10.0,-16.0,80,481,-401,"{""rank"": 80, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 481, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-7B35C6C39C7E,Fingerprint safety stun gun,False,True,26.0,10.0,-16.0,82,499,-417,"{""rank"": 82, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 499, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-7BE21B2DBAEA,Firearm with automatic target acquiring and shooting,False,True,26.0,10.0,-16.0,83,502,-419,"{""rank"": 83, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 502, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-7E12BAA2B444,Hit indicator apparatus,False,True,26.0,10.0,-16.0,84,506,-422,"{""rank"": 84, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 506, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-A7E44742E60B,Charging and discharging integrated gun identity recognition control module and control circuit applying same,False,True,26.0,10.0,-16.0,87,547,-460,"{""rank"": 87, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 547, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-C6D35D126D1F,Weapon control system,False,True,26.0,10.0,-16.0,90,579,-489,"{""rank"": 90, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 579, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-E04CB84E23D7,Firearm with user information input means,False,True,26.0,10.0,-16.0,92,593,-501,"{""rank"": 92, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 593, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-F60C366D12B6,Firearm cubbyhole having a finger vein recognition system,False,True,26.0,10.0,-16.0,96,614,-518,"{""rank"": 96, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 614, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-FBA642DFB3DF,Gun with safety switch,False,True,26.0,10.0,-16.0,97,620,-523,"{""rank"": 97, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 620, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-159575C8AED2,Gun lock,False,True,25.6,20.0,-5.600000000000001,99,145,-46,"{""rank"": 99, ""score"": 25.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}","{""rank"": 145, ""score"": 20.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}"
relationships,BC001-173CD304C1C5,Gun trigger lock,False,True,25.6,20.0,-5.600000000000001,100,146,-46,"{""rank"": 100, ""score"": 25.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}","{""rank"": 146, ""score"": 20.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}"
relationships,BC001-520777B362B1,Firearm safety device and system for uniquely and individually enabling firearm discharge,False,True,25.6,20.0,-5.600000000000001,101,159,-58,"{""rank"": 101, ""score"": 25.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}","{""rank"": 159, ""score"": 20.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}"
relationships,BC001-77C7BB6F48C9,Fingerprint gun lock apparatus,False,True,25.6,20.0,-5.600000000000001,102,168,-66,"{""rank"": 102, ""score"": 25.6, ""features"": {""F2"": ""E"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}","{""rank"": 168, ""score"": 20.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}"
relationships,BC001-62F0D633BC72,Handgun with automated slide assembly aiming and stabilization mechanism,False,True,24.0,8.0,-16.0,113,634,-521,"{""rank"": 113, ""score"": 24.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}","{""rank"": 634, ""score"": 8.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}"
relationships,BC001-16E1EB95170A,Electronic gun lock bracket and unlocking and locking method thereof,False,True,22.0,41.5,19.5,122,28,94,"{""rank"": 122, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 28, ""score"": 41.5, ""features"": {""F2"": ""E"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""I"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-F135B46A4984,Biometric gun lock,False,True,22.0,52.0,30.0,155,17,138,"{""rank"": 155, ""score"": 22.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 17, ""score"": 52.0, ""features"": {""F2"": ""E"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""E"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-14F77AD5FAA9,"CPU (Central Processing Unit) high-temperature automatic test method, device, equipment and medium",False,True,20.0,4.0,-16.0,160,675,-515,"{""rank"": 160, ""score"": 20.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""attached_firing_control""}","{""rank"": 675, ""score"": 4.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""attached_firing_control""}"
relationships,BC001-B93352D454CB,"Handgun, fitted with a fingerprint thermo scanner and software, ensures that the weapon cannot be fired by an unauthorized user",False,True,19.8,14.2,-5.600000000000001,219,247,-28,"{""rank"": 219, ""score"": 19.8, ""features"": {""F2"": ""I"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""C"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 247, ""score"": 14.2, ""features"": {""F2"": ""I"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-6B3CFC3183A3,Management and reporting system for firearms firing,False,True,19.6,14.0,-5.600000000000001,220,336,-116,"{""rank"": 220, ""score"": 19.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 336, ""score"": 14.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-3AFC986C5263,Firearm safety,False,True,18.0,2.0,-16.0,223,950,-727,"{""rank"": 223, ""score"": 18.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 950, ""score"": 2.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}"
relationships,BC001-8EF7B2D90DA1,"Device for the verification of one of the electrical installation fire Gyroscopic and is also suitable for exercises of, with automatic inscription of the result of the verification",False,True,17.1,11.5,-5.600000000000001,229,387,-158,"{""rank"": 229, ""score"": 17.1, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""I"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}","{""rank"": 387, ""score"": 11.5, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""I"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}"
relationships,BC001-11EE61D254C5,Firearm authentication and tracking system,True,True,17.0,22.6,5.600000000000001,230,89,141,"{""rank"": 230, ""score"": 17.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""I""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 89, ""score"": 22.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""I""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}"
relationships,BC001-FAE756167262,Safety device for firearms with unfired ammunition,False,True,16.0,0.0,-16.0,231,3223,-2992,"{""rank"": 231, ""score"": 16.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""attached_firing_control""}","{""rank"": 3223, ""score"": 0.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""attached_firing_control""}"
relationships,BC001-2D52051F8EBC,Long gun stock with sliding trigger enclosure,False,True,15.6,10.0,-5.6,235,419,-184,"{""rank"": 235, ""score"": 15.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 419, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-30D7A4C3DE6D,Firing head/perforating gun latching system and associated methods,False,True,15.6,10.0,-5.6,236,421,-185,"{""rank"": 236, ""score"": 15.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 421, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-361390E351DC,Automatic scope zoom sensing for rifle mounted clip-on fire control displays,False,True,15.6,10.0,-5.6,237,428,-191,"{""rank"": 237, ""score"": 15.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 428, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-A71F2B0889E1,Electronic fire control system and methods of operating the same,False,True,15.6,10.0,-5.6,238,545,-307,"{""rank"": 238, ""score"": 15.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 545, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-AAA6CE2312E7,Long gun stock with sliding trigger enclosure,False,True,15.6,10.0,-5.6,239,550,-311,"{""rank"": 239, ""score"": 15.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 550, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
